"nom","no","premiere_selection","derniere_selection","matchs","points","url"
"Hassane Kolingar",1133,"le 28 novembre 2020 contre l'Italie","le 14 février 2021 contre l'Irlande",3,0,"https://fr.wikipedia.org//wiki/Hassane_Kolingar"
"Yoram Moefana",1134,"le 28 novembre 2020 contre l'Italie","le 19 août 2023 contre les Fidji",18,10,"https://fr.wikipedia.org//wiki/Yoram_Moefana"
"Swan Rebbadj",1135,"le 28 novembre 2020 contre l'Italie","le 26 mars 2021 contre l'Ecosse",4,5,"https://fr.wikipedia.org//wiki/Swan_Rebbadj"
"Selevasio Tolofua",1136,"le 6 décembre 2020 contre l'Angleterre","le 2 juillet 2022 contre le Japon",2,0,"https://fr.wikipedia.org//wiki/Selevasio_Tolofua"
"Guillaume Ducat",1137,"le 6 décembre 2020 contre l'Angleterre","le 6 décembre 2020 contre l'Angleterre",1,0,"https://fr.wikipedia.org//wiki/Guillaume_Ducat"
"Melvyn Jaminet",1138,"le 7 juillet 2021 contre l'Australie","le 27 août 2023 contre l'Australie",15,184,"https://fr.wikipedia.org//wiki/Melvyn_Jaminet"
"Gaëtan Barlot",1139,"le 7 juillet 2021 contre l'Australie","le 26 février 2023 contre l'Ecosse",7,0,"https://fr.wikipedia.org//wiki/Ga%C3%ABtan_Barlot"
"Anthony Étrillard",1140,"le 7 juillet 2021 contre l'Australie","le 17 juillet 2021 contre l'Australie",3,0,"https://fr.wikipedia.org//wiki/Anthony_%C3%89trillard"
"Quentin Walcker",1141,"le 7 juillet 2021 contre l'Australie","le 17 juillet 2021 contre l'Australie",2,0,"https://fr.wikipedia.org//wiki/Quentin_Walcker"
"Sipili Falatea",1142,"le 7 juillet 2021 contre l'Australie","le 5 août 2023 contre l'Ecosse",13,5,"https://fr.wikipedia.org//wiki/Sipili_Falatea"
"Teddy Iribaren",1143,"le 7 juillet 2021 contre l'Australie","le 13 juillet 2021 contre l'Australie",2,0,"https://fr.wikipedia.org//wiki/Teddy_Iribaren"
"Wilfrid Hounkpatin",1144,"le 13 juillet 2021 contre l'Australie","le 13 juillet 2021 contre l'Australie",1,0,"https://fr.wikipedia.org//wiki/Wilfrid_Hounkpatin"
